WRITE_ALL 0
READ_D 0 0
READ_D 1 0
READ_D 64 0
READ_D 3fe 0
READ_D 3ff 0
WRITE_ONE 0 a
READ_D 0 a
WRITE_ONE 1 14
READ_D 1 14
WRITE_ONE 3fe 1e
READ_D 3fe 1e
WRITE_ONE 3ff 32
READ_D 3ff 32
WRITE_ALL 5a
READ_D 0 5a
READ_D 1 5a
READ_D 3fe 5a
READ_D 3ff 5a
WRITE_CFG 3 1 2 1 a5
READ_D 2 5a
READ_D 1 a5
READ_D 0 5a
READ_D 3ff a5
READ_D 3fe 5a
WRITE_ONE 0 1
WRITE_ONE 1 2
WRITE_ONE 2 3
WRITE_ONE 3 4
WRITE_ONE 4 5
READ_D 0 1
READ_D 1 2
READ_D 2 3
READ_D 3 4
UPDATE 0 2
READ 0 1
READ 1 2
READ 2 3
READ 3 0
